,ID,Artista_original,Artista_similar,Coincidencia
0,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La T y la M,1
1,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Damas Gratis,0.575148
2,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Ráfaga,0.574782
3,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Palmeras,0.492206
4,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Mario Luis,0.474186
5,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Jambao,0.472638
6,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Leo Mattioli,0.468605
7,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Nestor En Bloque,0.463904
8,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Big One,0.462175
9,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Agrupación Marilyn,0.392237
10,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Delio Valdez,0.387202
11,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Yerba Brava,0.381038
12,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Del Fuego,0.372760
13,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Repiola,0.348948
14,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Alan Gomez,0.347666
15,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Maria Becerra,0.337226
16,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Grupo Red,0.319123
17,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Champions Liga,0.315513
18,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,MANO ARRIBA,0.299549
19,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Gilda,0.291154
20,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Ecko,0.289494
21,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Base,0.266886
22,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Tiago PZK,0.257000
23,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Callejero Fino,0.256431
24,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,EL DIPY,0.250787
25,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Ángeles Azules,0.243515
26,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Cumbia,0.239845
27,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Jere Klein,0.228570
28,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Grupo Sombras,0.222720
29,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,NENE MALO,0.222707
30,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,De la calle,0.221785
31,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Angeles De Charly,0.218978
32,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Joaqui,0.209144
33,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Pibes Chorros,0.207863
34,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Nota LoKoS,0.199897
35,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Quevedo,0.199382
36,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Beriso,0.196545
37,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Rusherking,0.174185
38,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,FMK,0.170904
39,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Mala Fama,0.168942
40,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,El Apache Ness,0.163523
41,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Khea,0.163458
42,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Tony Dize,0.147824
43,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,El Jordan 23,0.131913
44,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Daddy Yankee,0.131263
45,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Piso 21,0.129667
46,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Cosculluela,0.128612
47,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Wisin & Yandel,0.127372
48,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Antonio Rios,0.127311
49,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,J Alvarez,0.122453
50,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Myke Towers,0.115087
51,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,LiL CaKe,0.113310
52,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,FloyyMenor,0.112659
53,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Nicky Jam,0.110774
54,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Dalex,0.109383
55,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Angel Y Khriz,0.108385
56,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Noche,0.106885
57,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Standly,0.105460
58,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,"Tito ""El Bambino""",0.101157
59,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Conociendo Rusia,0.100252
60,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Anuel AA,0.099900
61,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Mc Caco,0.098415
62,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Wisin,0.097107
63,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Manuel Turizo,0.096437
64,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Grupo Uno,0.095812
65,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Don Omar,0.095717
66,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Angeles Azules,0.095266
67,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Repandilla,0.093716
68,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Yandel,0.090255
69,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Factoria,0.089647
70,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,R.K.M & Ken-Y,0.087189
71,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Él mató a un policía motorizado,0.087032
72,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Brytiago,0.086257
73,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Árbol,0.086074
74,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Villa Cariño,0.085182
75,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Makano,0.085009
76,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,"Bad Bunny, Feid",0.083124
77,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Zion,0.081485
78,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Sech,0.080719
79,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,18 Kilates,0.080167
80,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Feid,0.079282
81,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Louta,0.078092
82,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Hernan y La Champion's Liga,0.075834
83,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Chino & Nacho,0.075213
84,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Arcangel,0.074918
85,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Paco Amoroso,0.072826
86,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Ozuna,0.072492
87,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Wachiturros,0.071362
88,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Justin Quiles,0.070784
89,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Indio Solari,0.069589
90,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Seven Kayne,0.069197
91,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Ñengo Flow,0.069105
92,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,tINI,0.068212
93,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Skay Beilinson,0.067723
94,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Yng Lvcas,0.067638
95,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Ivy Queen,0.066878
96,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Alexis y Fido,0.066527
97,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Jowell & Randy,0.066210
98,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,J Balvin,0.064840
99,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Farruko,0.064386
100,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,"Jessie J, Ariana Grande & Nicki Minaj",1
101,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Sabrina Carpenter,0.872745
102,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Madison Beer,0.727230
103,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,SZA,0.714550
104,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Cynthia Erivo,0.703908
105,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Doja Cat,0.661991
106,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,The Weeknd & Ariana Grande,0.599984
107,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Tate McRae,0.567004
108,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Beyoncé,0.550474
109,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Tyla,0.516037
110,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,FLO,0.482232
111,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Olivia Rodrigo,0.464286
112,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Dua Lipa,0.458248
113,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Rihanna,0.453793
114,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Victoria Monét,0.452582
115,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Brandy & Monica,0.451661
116,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Camila Cabello,0.445703
117,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Mariah Carey,0.445050
118,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Summer Walker,0.403365
119,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Normani,0.388584
120,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Nicki Minaj,0.387794
121,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Addison Rae,0.373046
122,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Lady Gaga & Ariana Grande,0.362490
123,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Billie Eilish,0.360185
124,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Ariana Grande & Nathan Sykes,0.360060
125,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Chloe x Halle,0.346484
126,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Destiny's Child,0.342637
127,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Chlöe,0.342256
128,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Fifth Harmony,0.340367
129,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Anitta,0.329293
130,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Raye,0.319794
131,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Tinashe,0.318578
132,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Halle,0.317921
133,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Justin Bieber,0.311517
134,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Kehlani,0.306994
135,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Luísa Sonza,0.304131
136,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Selena Gomez,0.300217
137,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Nathan Sykes,0.291750
138,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Kali Uchis,0.290729
139,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Melanie Martinez,0.289358
140,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Jhené Aiko,0.286668
141,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Little Mix,0.282131
142,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Tori Kelly,0.281868
143,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Cassie,0.279231
144,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Taylor Swift,0.279041
145,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Zendaya,0.279029
146,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Whitney Houston,0.277804
147,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,JoJo,0.277688
148,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Zara Larsson,0.277443
149,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Coco Jones,0.274467
150,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Katy Perry,0.267010
151,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Lana Del Rey,0.264649
152,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Victoria Justice,0.263249
153,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Dove Cameron,0.261865
154,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Miley Cyrus,0.258598
155,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Who Is Fancy,0.255488
156,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Ava Max,0.255232
157,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Fergie,0.251233
158,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Demi Lovato,0.251181
159,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,The Pussycat Dolls,0.246787
160,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Lady Gaga,0.246035
161,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Brandy,0.242695
162,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Bruno Mars,0.237967
163,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,pinkpantheress,0.237768
164,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Britney Spears,0.232307
165,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Charli XCX,0.230777
166,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Kim Petras,0.224607
167,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Lauren Jauregui,0.223481
168,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Ciara,0.222948
169,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Jade,0.222925
170,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Alina Baraz,0.218996
171,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Meghan Trainor,0.217211
172,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Becky G,0.216483
173,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Christina Aguilera,0.215680
174,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Doja Cat & The Weeknd,0.214814
175,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Gracie Abrams,0.209513
176,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Lizzo,0.207853
177,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Danna Paola,0.207387
178,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,The Weeknd,0.206764
179,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Nessa Barrett,0.205877
180,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Adele,0.205421
181,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Aaliyah,0.202618
182,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Jordin Sparks,0.201787
183,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Mabel,0.200152
184,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Rina Sawayama,0.199115
185,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Pia Mia,0.197491
186,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Selena Gomez & the Scene,0.195524
187,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Hailee Steinfeld,0.193546
188,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Reneé Rapp,0.192070
189,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Jennifer Lopez,0.191677
190,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Zayn,0.190938
191,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Muni Long,0.189986
192,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Shawn Mendes,0.185832
193,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Jessie J,0.185602
194,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Halsey,0.184416
195,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Keke Palmer,0.184158
196,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Rosalía,0.183496
197,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Doechii,0.183426
198,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Teyana Taylor,0.179443
199,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,The Carters,0.177177
200,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Mike Shinoda,1
201,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Dead By Sunrise,0.931700
202,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Jay-Z and Linkin Park,0.763653
203,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Dead Sara,0.507574
204,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Grey Daze,0.463318
205,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Papa Roach,0.404072
206,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Three Days Grace,0.363986
207,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Slipknot,0.354058
208,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Chester Bennington,0.321117
209,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Limp Bizkit,0.296613
210,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Korn,0.287737
211,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Breaking Benjamin,0.273986
212,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,System of a Down,0.251996
213,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,P.O.D.,0.228095
214,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Staind,0.226328
215,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Disturbed,0.214814
216,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Deftones,0.206298
217,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Skillet,0.199382
218,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Evanescence,0.198294
219,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Adema,0.193546
220,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Thousand Foot Krutch,0.190981
221,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Saliva,0.183248
222,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,30 Seconds to Mars,0.182795
223,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Rage Against the Machine,0.179061
224,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Poppy,0.178698
225,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Seether,0.177776
226,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,TRUSTcompany,0.174336
227,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Drowning Pool,0.172178
228,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Hoobastank,0.171440
229,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Twenty One Pilots,0.169737
230,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Mudvayne,0.166743
231,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Crazy Town,0.163361
232,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Stone Sour,0.163306
233,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Shinedown,0.161079
234,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Godsmack,0.157030
235,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Trapt,0.152975
236,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Taproot,0.152906
237,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Sick Puppies,0.145784
238,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,The Offspring,0.145203
239,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Audioslave,0.144357
240,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Crossfade,0.143372
241,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Green Day,0.141469
